# ID, slit_id, P1x, P1y, P1z, P2x, P2y, P2z, P3x, P3y, P3z, P4x, P4y, P4z
# position in [m]
# KB3-2.stl
1, 1, 2.60591, 1.50233, -1.52173, 2.60591, 1.50233, -1.52303, 2.60401, 1.50562, -1.52303, 2.60401, 1.50562, -1.52173
2, 2, 2.60401, 1.50562, -1.52811, 2.60401, 1.50562, -1.52681, 2.60591, 1.50233, -1.52681, 2.60591, 1.50233, -1.52811
3, 3, 2.60401, 1.50562, -1.53319, 2.60401, 1.50562, -1.53189, 2.60591, 1.50233, -1.53189, 2.60591, 1.50233, -1.53319
4, 4, 2.60401, 1.50562, -1.53827, 2.60401, 1.50562, -1.53697, 2.60591, 1.50233, -1.53697, 2.60591, 1.50233, -1.53827
