# ID, P1x, P1y, P1z, P2x, P2y, P2z, P3x, P3y, P3z, P4x, P4y, P4z
# position in [m]
# Slits are numbered from top down
1, 2.57398, 1.48274, -1.49699, 2.57913, 1.48571, -1.48992, 2.57108, 1.48776, -1.49699, 2.57623, 1.49073, -1.48992
2, 2.57019, 1.48055, -1.5102, 2.57399, 1.48274, -1.50207, 2.5673, 1.48558, -1.5102, 2.57109, 1.48777, -1.50207
3, 2.56791, 1.47924, -1.52413, 2.5702, 1.48056, -1.51528, 2.56502, 1.48426, -1.52413, 2.5673, 1.48558, -1.51528
4, 2.56792, 1.47924, -1.52921, 2.56724, 1.47885, -1.53841, 2.56434, 1.48387, -1.53841, 2.56502, 1.48426, -1.52921
