# ID, P1x, P1y, P1z, P2x, P2y, P2z, P3x, P3y, P3z, P4x, P4y, P4z
# Slits are numbered from top down
1, 3.43811, -3.61298, 0.332294, 3.43811, -3.61298, 0.337694, 3.43564, -3.61546, 0.337694, 3.43564, -3.61546, 0.332294
2, 3.3916, -3.5902, 0.333444, 3.3916, -3.5902, 0.336544, 3.38514, -3.59666, 0.33654, 3.38514, -3.59666, 0.333444
3, 3.38276, -3.59904, 0.331924, 3.38276, -3.59904, 0.338064, 3.3763, -3.6055, 0.338064, 3.3763, -3.6055, 0.331924
4, 3.36544, -3.61637, 0.333444, 3.36544, -3.61637, 0.336544, 3.35898, -3.62282, 0.336544, 3.35898, -3.62282, 0.333444
